repository_name,repository_owner,file_name,file_creator,line_count,created_by,creation_date,commit_count
TheAlgorithms/Python,TheAlgorithms,machine_learning/loss_functions/binary_cross_entropy.py,Arnav Kohli,59,AI,2023-10-08T16:04:43+00:00,2
TheAlgorithms/Python,TheAlgorithms,data_structures/arrays/kth_largest_element.py,Neha,117,AI,2023-10-26T08:54:30+00:00,1
TheAlgorithms/Python,TheAlgorithms,machine_learning/loss_functions/mean_squared_logarithmic_error.py,Ankit Avinash,55,AI,2023-10-19T14:46:39+00:00,2
TheAlgorithms/Python,TheAlgorithms,linear_algebra/src/gaussian_elimination_pivoting/gaussian_elimination_pivoting.py,Mohammad Esfandiyar,101,AI,2023-10-30T13:20:47+00:00,2
TheAlgorithms/Python,TheAlgorithms,greedy_methods/best_time_to_buy_and_sell_stock.py,Kosuri L Indu,42,AI,2023-10-08T17:07:02+00:00,1
TheAlgorithms/Python,TheAlgorithms,data_structures/suffix_tree/__init__.py,Ramy,0,AI,2024-09-28T13:37:00+00:00,1
TheAlgorithms/Python,TheAlgorithms,source/__init__.py,pre-commit-ci[bot],0,AI,2024-07-02T05:02:29+00:00,4
TheAlgorithms/Python,TheAlgorithms,physics/speeds_of_gas_molecules.py,Baron105,111,AI,2023-10-14T07:01:23+00:00,3
TheAlgorithms/Python,TheAlgorithms,linear_algebra/matrix_inversion.py,Naitik Dwivedi,36,AI,2025-04-14T18:57:13+00:00,1
TheAlgorithms/Python,TheAlgorithms,maths/joint_probability_distribution.py,Rahul Jangra,124,AI,2023-10-15T15:03:03+00:00,1
TheAlgorithms/Python,TheAlgorithms,electronics/__init__.py,Maxim Smolskiy,0,Human,2024-04-02T19:13:56+00:00,1
TheAlgorithms/Python,TheAlgorithms,machine_learning/loss_functions/categorical_cross_entropy.py,Arnav Kohli,85,Human,2023-10-10T13:20:49+00:00,2
TheAlgorithms/Python,TheAlgorithms,strings/strip.py,Saurabh Mahapatra,33,Human,2023-10-08T16:10:41+00:00,1
TheAlgorithms/Python,TheAlgorithms,data_structures/arrays/find_triplets_with_0_sum.py,Pranavkumar Mallela,24,Human,2023-10-12T19:51:53+00:00,2
TheAlgorithms/Python,TheAlgorithms,machine_learning/loss_functions.py,Tianyi Zheng,252,Human,2023-10-20T21:29:42+00:00,9
TheAlgorithms/Python,TheAlgorithms,scripts/close_pull_requests_with_require_tests.sh,Christian Clauss,22,Human,2024-09-30T10:49:31+00:00,1
TheAlgorithms/Python,TheAlgorithms,physics/terminal_velocity.py,Paarth Goyal,60,Human,2023-10-23T05:43:30+00:00,2
TheAlgorithms/Python,TheAlgorithms,index.md,Christian Clauss,10,Human,2024-10-08T17:09:28+00:00,1
TheAlgorithms/Python,TheAlgorithms,neural_network/activation_functions/__init__.py,Maxim Smolskiy,0,Human,2024-04-02T19:13:56+00:00,1
